DIDOK NUMMER,BPUIC,BEZEICHNUNG_OFFIZIELL,Abkuerzung,ORTSCHAFTSNAME,GEMEINDENAME,BFS_NUMMER,BEZIRKSNAME,BEZIRKSNUM,KANTONSNAME,KANTONSKUERZEL,KANTONSNUM,LAND_ISO2_GEO,BP_ART_BEZEICHNUNG_DE,BP_BETRIEBSPUNKT_ART_ID,BPOF_ART_BEZEICHNUNG_DE,BPOF_BETRIEBSPUNKT_ART_ID,BPTF_ART_BEZEICHNUNG_DE,BPVB_ART_BEZEICHNUNG_DE,BPVB_BETRIEBSPUNKT_ART_ID,BPVH_BEZEICHNUNG_ALT,BPVH_EPR_CODE,BPVH_IATA_CODE,E_LV95,N_LV95,Z_LV95,E_LV03,N_LV03,Z_LV03,E_WGS84,N_WGS84,Z_WGS84,BPVH_VERKEHRSMITTEL,BPVH_VERKEHRSMITTEL_TEXT_DE,GO_IDENTIFIKATION,tu-nummer,GO_ABKUERZUNG_DE,GO_BEZEICHNUNG_DE,dst_abk,lod,geopos,IS_HALTESTELLE,dist
2211,8502211,Hendschiken,HDK,Hendschiken,Hendschiken,4198,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658044.14,1249017.72,419,658043.31,249017.65,419,8.2073887,47.38943108,419,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,HDK,http://lod.opentransportdata.swiss/didok/8502211,"47.3894310909, 8.20738865977",1,
87753,8587753,"Hunzenschwil, Bahnhof",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651854.0,1248815.0,399,651853.22,248814.87,399,8.12538447,47.38812398,399,B,Bus,100001,11,SBB,Schweizerische Bundesbahnen SBB,,http://lod.opentransportdata.swiss/didok/8587753,"47.3881239747, 8.12538446945",1,
80897,8580897,"Auenstein, Rütigasse",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2652368.0,1251978.0,386,652367.19,251977.85,386,8.13256184,47.41653082,386,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8580897,"47.4165308214, 8.13256184262",1,
2872,8502872,"Schafisheim, Gemeindehaus",,Schafisheim,Schafisheim,4207,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2653175.0,1247545.0,418,653174.21,247544.9,418,8.14272816,47.3765965,418,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8502872,"47.3765965, 8.14272816019",1,
2043,8502043,Seon Nord,SENO,Seon,Seon,4209,Lenzburg,1907,Aargau,AG,19,CH,,,,,Haltestelle ausser Betrieb,,,,,,2654524.0,1244959.0,447,654523.2,244958.92,447,8.16027486,47.35322807,447,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,SENO,http://lod.opentransportdata.swiss/didok/8502043,"47.3532280662, 8.16027485836",0,
2115,8502115,Wildegg,WI,Wildegg,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654667.74,1251859.16,354,654666.92,251859.03,354,8.16301991,47.41527515,354,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,WI,http://lod.opentransportdata.swiss/didok/8502115,"47.4152751629, 8.16301988225",1,
15407,8515407,Lenzburg West (Abzw),LBW,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,"Abzweigung, Verzweigung, Spaltweiche",,,,,,2654909.42,1249348.18,406,654908.61,249348.08,406,8.16591394,47.39267185,406,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,LBW,http://lod.opentransportdata.swiss/didok/8515407,"47.3926718333, 8.1659139374",0,
78737,8578737,"Lenzburg, Schule Lenzhard",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654935.0,1249074.0,406,654934.19,249073.9,406,8.16621907,47.39020377,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578737,"47.3902037743, 8.16621907495",1,
16923,8516923,Wildegg Süd,WIS,Niederlenz,Niederlenz,4204,Lenzburg,1907,Aargau,AG,19,CH,Inventarpunkt,30,,,,,,,,,2655235.0,1249942.0,408,655234.19,249941.9,408,8.17029938,47.39798533,408,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,WIS,http://lod.opentransportdata.swiss/didok/8516923,"47.3979853291, 8.17029938205",0,
2981,8502981,"Niederlenz, Dorfplatz",,Niederlenz,Niederlenz,4204,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655643.0,1250373.0,383,655642.18,250372.9,383,8.17575728,47.40182733,383,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8502981,"47.401827326, 8.17575727722",1,
78754,8578754,"Lenzburg, Fünfweiher",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656340.0,1247486.0,406,656339.19,247485.93,406,8.18462683,47.37580296,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578754,"47.3758029571, 8.18462682899",1,
87750,8587750,"Möriken AG, Bösenrain",,Möriken AG,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656508.0,1251832.0,386,656507.18,251831.9,386,8.18740006,47.4148756,386,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8587750,"47.4148755959, 8.18740005965",1,
89490,8589490,"Othmarsingen, Militärbetriebe",,Othmarsingen,Othmarsingen,4205,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2657712.0,1249616.0,419,657711.17,249615.92,419,8.20306708,47.39484106,419,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8589490,"47.3948410626, 8.20306708041",1,
15403,8515403,Hendschiken Nord (Abzw),HDKN,Hendschiken,Hendschiken,4198,Lenzburg,1907,Aargau,AG,19,CH,,,,,"Abzweigung, Verzweigung, Spaltweiche",,,,,,2657901.26,1249209.84,419,657900.43,249209.76,419,8.20552127,47.3911715,419,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,HDKN,http://lod.opentransportdata.swiss/didok/8515403,"47.3911715463, 8.20552126768",0,
90254,8590254,"Othmarsingen, Högern",,Othmarsingen,Othmarsingen,4205,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658019.0,1249883.0,414,658018.16,249882.92,414,8.20716791,47.39721544,414,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590254,"47.3972154386, 8.20716791026",1,
90162,8590162,"Ammerswil AG, Kirche",,Ammerswil AG,Ammerswil,4191,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658141.0,1246988.0,449,658140.19,246987.95,449,8.20840783,47.37116764,449,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590162,"47.3711676368, 8.2084078318",1,
87113,8587113,"Brunegg, Zentrum",,Brunegg,Brunegg,4193,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658692.0,1252249.0,426,658691.15,252248.92,426,8.21639268,47.41843499,426,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8587113,"47.4184349853, 8.21639267956",1,
90253,8590253,"Othmarsingen, Bahnhofstrasse",,Othmarsingen,Othmarsingen,4205,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658738.0,1250770.0,420,658737.15,250769.93,420,8.21680793,47.40512918,420,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590253,"47.4051291841, 8.21680793074",1,
