DIDOK NUMMER,BPUIC,BEZEICHNUNG_OFFIZIELL,Abkuerzung,ORTSCHAFTSNAME,GEMEINDENAME,BFS_NUMMER,BEZIRKSNAME,BEZIRKSNUM,KANTONSNAME,KANTONSKUERZEL,KANTONSNUM,LAND_ISO2_GEO,BP_ART_BEZEICHNUNG_DE,BP_BETRIEBSPUNKT_ART_ID,BPOF_ART_BEZEICHNUNG_DE,BPOF_BETRIEBSPUNKT_ART_ID,BPTF_ART_BEZEICHNUNG_DE,BPVB_ART_BEZEICHNUNG_DE,BPVB_BETRIEBSPUNKT_ART_ID,BPVH_BEZEICHNUNG_ALT,BPVH_EPR_CODE,BPVH_IATA_CODE,E_LV95,N_LV95,Z_LV95,E_LV03,N_LV03,Z_LV03,E_WGS84,N_WGS84,Z_WGS84,BPVH_VERKEHRSMITTEL,BPVH_VERKEHRSMITTEL_TEXT_DE,GO_IDENTIFIKATION,tu-nummer,GO_ABKUERZUNG_DE,GO_BEZEICHNUNG_DE,dst_abk,lod,geopos,IS_HALTESTELLE,dist
2040,8502040,Seon Industrieanlagen,SEIN,Seon,Seon,4209,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2653800.0,1244500.0,450,653799.21,244499.92,450,8.15063783,47.3491593,450,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,SEIN,http://lod.opentransportdata.swiss/didok/8502040,"47.3491593021, 8.15063782821",0,
78704,8578704,"Seon, Unterdorf",,Seon,Seon,4209,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654633.0,1244393.0,446,654632.2,244392.92,446,8.16164845,47.34812848,446,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578704,"47.3481284746, 8.16164845031",1,
78745,8578745,"Lenzburg, Zeughaus",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654752.0,1248971.0,406,654751.19,248970.9,406,8.16378284,47.38929264,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578745,"47.3892926385, 8.16378284281",1,
2676,8502676,"Seon, Hallenbad",,Seon,Seon,4209,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655122.0,1244305.0,446,655121.2,244304.93,446,8.16810877,47.34729632,446,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8502676,"47.3472963204, 8.16810877302",1,
78734,8578734,"Lenzburg, Beyeler",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655196.0,1248751.0,406,655195.19,248750.91,406,8.16963589,47.38727696,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578734,"47.3872769593, 8.16963589313",1,
2677,8502677,"Egliswil, Industrie",,Egliswil,Egliswil,4195,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655741.0,1244500.0,470,655740.2,244499.94,470,8.17632438,47.34899811,470,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8502677,"47.3489981135, 8.17632437528",1,
78747,8578747,"Lenzburg, Hypiplatz",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655858.0,1248811.0,397,655857.18,248810.91,397,8.17841034,47.38776081,397,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578747,"47.3877608137, 8.17841033764",1,
90243,8590243,"Lenzburg, Poststrasse",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655871.0,1248789.0,400,655870.18,248788.91,400,8.17857975,47.38756185,400,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590243,"47.3875618476, 8.1785797537",1,
78689,8578689,"Möriken AG, Oberäsch",,Möriken AG,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655899.0,1252212.0,386,655898.18,252211.89,386,8.17937832,47.41834518,386,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578689,"47.4183451796, 8.17937831915",1,
78697,8578697,"Lenzburg, Volg",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656022.0,1249329.0,406,656021.18,249328.91,406,8.18064707,47.39240569,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578697,"47.3924056888, 8.18064707429",1,
78750,8578750,"Lenzburg, Friedweg",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656033.0,1248403.0,406,656032.18,248402.92,406,8.18067683,47.38407648,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578750,"47.3840764774, 8.18067683161",1,
78690,8578690,"Möriken AG, Gemeindehaus",,Möriken AG,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656095.0,1251976.0,386,656094.18,251975.89,386,8.18194588,47.416206,386,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578690,"47.4162059949, 8.18194587693",1,
88869,8588869,"Lenzburg, Schloss",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656565.0,1248837.0,406,656564.18,248836.92,406,8.1877766,47.38793435,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588869,"47.3879343506, 8.18777659565",1,
78726,8578726,"Lenzburg, Berufsschule",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656875.0,1249036.0,406,656874.17,249035.92,406,8.1919073,47.38969744,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578726,"47.3896974373, 8.19190730127",1,
15401,8515401,Gexi Ost (Abzw),GEXO,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,"Abzweigung, Verzweigung, Spaltweiche",,,,,,2657123.07,1249394.06,424,657122.24,249393.98,424,8.19523837,47.39289627,424,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,GEXO,http://lod.opentransportdata.swiss/didok/8515401,"47.3928962991, 8.19523837476",0,
78755,8578755,"Ammerswil AG, Rebrain",,Ammerswil AG,Ammerswil,4191,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2657715.0,1246736.0,456,657714.2,246735.94,456,8.2027355,47.36893862,456,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578755,"47.3689386223, 8.20273550347",1,
17155,8517155,Hendschiken Unterwerk,HDUW,Hendschiken,Hendschiken,4198,Lenzburg,1907,Aargau,AG,19,CH,BP Netze,31,,,,,,,,,2657862.0,1249199.0,420,657861.17,249198.93,420,8.2049999,47.3910775,420,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,HDUW,http://lod.opentransportdata.swiss/didok/8517155,"47.3910775022, 8.20499990418",0,
88575,8588575,"Rupperswil, Bahnhof",,Rupperswil,Rupperswil,4206,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651954.0,1250479.0,374,651953.21,250478.85,374,8.12690201,47.40308187,374,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588575,"47.4030818743, 8.12690200654",1,
80899,8580899,"Auenstein, Wiweg",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2652106.0,1251923.0,409,652105.2,251922.85,409,8.1290838,47.41605694,409,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8580899,"47.4160569386, 8.12908380415",1,
72467,8572467,"Auenstein, Gemeindehaus",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2652681.0,1251953.0,370,652680.19,251952.85,370,8.1367063,47.41628102,370,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8572467,"47.41628102, 8.13670629778",1,
90262,8590262,"Schafisheim, Talhard",,Schafisheim,Schafisheim,4207,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2652954.0,1248216.0,410,652953.21,248215.89,410,8.13988136,47.38264919,410,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590262,"47.3826491868, 8.13988135916",1,
78744,8578744,"Schafisheim, Jumbo",,Schafisheim,Schafisheim,4207,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2652993.0,1248640.0,418,652992.2,248639.89,418,8.14044799,47.38645945,418,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578744,"47.3864594541, 8.14044799127",1,
78702,8578702,"Schafisheim, Milchgasse",,Schafisheim,Schafisheim,4207,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2653215.0,1247276.0,418,653214.21,247275.9,418,8.14322582,47.37417392,418,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578702,"47.3741739147, 8.14322581534",1,
574,8500574,"Veltheim AG, Wildenstein",,Veltheim AG,Veltheim (AG),4120,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2654370.0,1253101.0,348,654369.17,253100.86,348,8.15922583,47.4264686,348,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8500574,"47.4264686034, 8.15922582574",1,
78739,8578739,"Lenzburg, Dufourstrasse",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654383.0,1248911.0,406,654382.19,248910.9,406,8.15888864,47.38878356,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578739,"47.3887835605, 8.15888863856",1,
2675,8502675,"Seon, Frohsinn",,Seon,Seon,4209,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654521.0,1245078.0,446,654520.2,245077.92,446,8.16024963,47.35429859,446,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8502675,"47.3542985925, 8.1602496312",1,
72465,8572465,"Wildegg, Bahnhof",,Wildegg,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654724.0,1251869.0,354,654723.18,251868.87,354,8.16376654,47.41535899,354,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8572465,"47.4153589901, 8.16376653874",1,
88870,8588870,"Wildegg, Zentrum",,Wildegg,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654800.0,1251820.0,354,654799.18,251819.87,354,8.16476754,47.41491198,354,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588870,"47.4149119777, 8.16476754436",1,
2128,8502128,Holderbank AG,HOBK,Holderbank AG,Holderbank (AG),4199,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654925.82,1253347.84,355,654924.99,253347.71,355,8.16662237,47.42864253,355,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,HOBK,http://lod.opentransportdata.swiss/didok/8502128,"47.4286424936, 8.16662239508",1,
2119,8502119,Lenzburg,LB,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655249.09,1249187.66,406,655248.28,249187.56,406,8.17039289,47.39119976,406,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,LB,http://lod.opentransportdata.swiss/didok/8502119,"47.3911997555, 8.1703928761",1,
18791,8518791,Lenzburg Seetal,LBSE,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,Zugeordneter Betriebspunkt,,,,,,2655299.31,1249122.25,407,655298.5,249122.15,407,8.17104997,47.39060721,407,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,LBSE,http://lod.opentransportdata.swiss/didok/8518791,"47.3906072575, 8.17104991352",0,
78732,8578732,"Lenzburg, Bachstrasse",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655732.0,1248635.0,406,655731.18,248634.91,406,8.17671977,47.38618857,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578732,"47.3861885674, 8.17671977205",1,
78730,8578730,"Lenzburg, Kronenplatz",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656069.0,1248807.0,406,656068.18,248806.92,406,8.18120416,47.38770692,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578730,"47.3877069211, 8.18120416281",1,
94684,8594684,"Lenzburg, Othmarsingerstrasse",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656580.0,1249149.0,426,656579.18,249148.92,426,8.18801469,47.39073913,426,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8594684,"47.390739131, 8.1880146894",1,
78728,8578728,"Lenzburg, Neuhofstrasse",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656607.0,1249070.0,406,656606.18,249069.92,406,8.18836228,47.3900263,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578728,"47.3900263017, 8.18836228419",1,
94550,8594550,"Lenzburg, Gexistrasse",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2657054.0,1249356.0,432,657053.17,249355.92,432,8.19431872,47.39255998,432,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8594550,"47.3925599792, 8.19431872385",1,
78757,8578757,"Ammerswil AG, Dorfplatz",,Ammerswil AG,Ammerswil,4191,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658072.0,1246781.0,456,658071.19,246780.95,456,8.20746749,47.36931199,456,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578757,"47.3693119942, 8.20746749348",1,
87102,8587102,"Othmarsingen, Rössli",,Othmarsingen,Othmarsingen,4205,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658547.0,1250287.0,419,658546.16,250286.93,419,8.21421443,47.40080221,419,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8587102,"47.4008022095, 8.21421443345",1,
2105,8502105,Othmarsingen,OTH,Othmarsingen,Othmarsingen,4205,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658584.33,1251024.69,419,658583.48,251024.62,419,8.21480549,47.40743351,419,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,OTH,http://lod.opentransportdata.swiss/didok/8502105,"47.4074334806, 8.21480554704",1,
87101,8587101,"Othmarsingen, Bahnhof",,Othmarsingen,Othmarsingen,4205,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2658613.0,1250947.0,419,658612.15,250946.93,419,8.21517519,47.40673221,419,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8587101,"47.4067322076, 8.21517518772",1,
87230,8587230,"Mägenwil, Gewerbepark",,Mägenwil,Mägenwil,4032,Baden,1902,Aargau,AG,19,CH,,,,,,,,,,,2659378.0,1251349.0,416,659377.15,251348.93,416,8.22536321,47.41027917,416,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8587230,"47.4102791707, 8.22536320865",1,
88572,8588572,"Hunzenschwil, Birkenweg",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651270.0,1248674.0,400,651269.23,248673.87,400,8.11763415,47.38690152,400,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588572,"47.3869015229, 8.11763415048",1,
88574,8588574,"Hunzenschwil, Weiherweg",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651310.0,1248393.0,409,651309.23,248392.87,409,8.11813167,47.38437113,409,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588574,"47.3843711268, 8.1181316682",1,
78742,8578742,"Schafisheim, Coop",,Schafisheim,Schafisheim,4207,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2652908.0,1248792.0,418,652907.2,248791.88,418,8.1393403,47.38783335,418,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578742,"47.3878333503, 8.13934030311",1,
2557,8502557,"Auenstein, Kirche",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2653023.0,1251943.0,368,653022.19,251942.85,368,8.14123675,47.41616364,368,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8502557,"47.416163643, 8.14123675295",1,
72466,8572466,"Auenstein, Fahr",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2653772.0,1251865.0,359,653771.18,251864.86,359,8.1511519,47.41540141,359,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8572466,"47.4154014144, 8.15115189815",1,
77957,8577957,"Auenstein, Steinbr. Jakobsberg",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2654187.0,1252186.0,357,654186.18,252185.86,357,8.15668962,47.41825441,357,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8577957,"47.4182544059, 8.15668962256",1,
78738,8578738,"Lenzburg, Langsamstig",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654566.0,1249034.0,406,654565.19,249033.9,406,8.1613272,47.38987468,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578738,"47.3898746764, 8.16132720208",1,
78700,8578700,"Staufen, Chrüzweg",,Staufen,Staufen,4210,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654598.0,1248420.0,420,654597.19,248419.91,420,8.16167611,47.38434981,420,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578700,"47.384349807, 8.16167610818",1,
2135,8502135,Lenzburg Industrie,LBIN,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,Inventarpunkt,30,,,,,,,,,2654758.0,1249337.0,406,654757.19,249336.9,406,8.16390709,47.39258388,406,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,LBIN,http://lod.opentransportdata.swiss/didok/8502135,"47.3925838816, 8.16390708696",0,
90265,8590265,"Seon, Birren Süd",,Seon,Seon,4209,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655004.0,1245994.0,448,655003.2,245993.92,448,8.16675456,47.36249691,448,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590265,"47.3624969107, 8.16675456005",1,
